,player_name,player_extended_name,nationality,position,overall
0,Pelé,Edson Arantes Nascimento,Brazil,CAM,98
1,Maradona,Diego Maradona,Argentina,CAM,97
2,Ronaldo,Ronaldo Luís Nazário de Lima,Brazil,ST,96
3,Pelé,Edson Arantes Nascimento,Brazil,CF,95
4,Maradona,Diego Maradona,Argentina,CAM,95
5,Maldini,Paolo Maldini,Italy,CB,94
6,Ronaldo,Ronaldo Luís Nazário de Lima,Brazil,ST,94
7,Yashin,Lev Yashin,Russian Federation,GK,94
8,Ronaldinho,Ronaldo de Assis Moreira,Brazil,LW,94
9,Van Basten,Marco van Basten,Netherlands,ST,93
10,Matthäus,Lothar Matthäus,Germany,CM,93
11,Best,George Best,United Kingdom of Great Britain and Northern Ireland,RW,93
12,Gullit,Ruud Gullit,Netherlands,CF,93
13,Baresi,Franco Baresi,Italy,CB,93
14,Henry,Thierry Henry,France,ST,93
15,Puyol,Carles Puyol Saforcada,Spain,CB,92
16,Luís Figo,Luís Filipe Madeira Caeiro Figo,Portugal,RW,92
17,Del Piero,Alessandro Del Piero,Italy,CF,92
18,Lineker,Gary Lineker,United Kingdom of Great Britain and Northern Ireland,ST,92
19,Moore,Bobby Moore,United Kingdom of Great Britain and Northern Ireland,CB,92
20,Butragueño,Emilio Butragueño Santos,Spain,ST,92
21,Cannavaro,Fabio Cannavaro,Italy,CB,92
22,Van Nistelrooy,Ruud van Nistelrooy,Netherlands,ST,92
23,Maldini,Paolo Maldini,Italy,CB,92
24,Giggs,Ryan Giggs,United Kingdom of Great Britain and Northern Ireland,LM,92
25,Zanetti,Javier Zanetti,Argentina,RB,92
26,Bergkamp,Dennis Bergkamp,Netherlands,CF,92
27,Nesta,Alessandro Nesta,Italy,CB,92
28,Schmeichel,Peter Schmeichel,Denmark,GK,92
29,Stoichkov,Hristo Stoichkov,Bulgaria,ST,92
30,Laudrup,Michael Laudrup,Denmark,CAM,91
31,Scholes,Paul Scholes,United Kingdom of Great Britain and Northern Ireland,CM,91
32,Blanc,Laurent Blanc,France,CB,91
33,Hagi,Gheorghe Hagi,Romania,CAM,91
34,Hierro,Fernando Hierro Ruiz,Spain,CB,91
35,Pirès,Robert Pirès,France,LM,91
36,Matthäus,Lothar Matthäus,Germany,CDM,91
37,Ronaldinho,Ronaldo de Assis Moreira,Brazil,CAM,91
38,Owen,Michael Owen,United Kingdom of Great Britain and Northern Ireland,ST,91
39,Shearer,Alan Shearer,United Kingdom of Great Britain and Northern Ireland,ST,91
40,Desailly,Marcel Desailly,France,CB,91
41,Shevchenko,Andriy Shevchenko,Ukraine,ST,91
42,Kluivert,Patrick Kluivert,Netherlands,ST,91
43,Van Der Sar,Edwin van der Sar,Netherlands,GK,91
44,Vieira,Patrick Vieira,France,CM,91
45,Gerrard,Steven Gerrard,United Kingdom of Great Britain and Northern Ireland,CM,91
46,Yashin,Lev Yashin,Russian Federation,GK,91
47,Nedved,Pavel Nedvěd,Czech Republic,LM,91
48,Pelé,Edson Arantes Nascimento,Brazil,CF,91
49,Van Basten,Marco van Basten,Netherlands,ST,91
50,Maradona,Diego Maradona,Argentina,CAM,91
51,Carlos,Roberto Carlos da Silva Rocha,Brazil,LB,91
52,Schmeichel,Peter Schmeichel,Denmark,GK,90
53,Inzaghi,Filippo Inzaghi,Italy,ST,90
54,Del Piero,Alessandro Del Piero,Italy,CF,90
55,Litmanen,Jari Litmanen,Finland,CAM,90
56,Larsson,Henrik Larsson,Sweden,ST,90
57,Okocha,Jay-Jay Okocha,Nigeria,CAM,90
58,Nesta,Alessandro Nesta,Italy,CB,90
59,Ronaldo,Ronaldo Luís Nazário de Lima,Brazil,ST,90
60,Bergkamp,Dennis Bergkamp,Netherlands,CAM,90
61,Rijkaard,Frank Rijkaard,Netherlands,CDM,90
62,Crespo,Hernán Crespo,Argentina,ST,90
63,Overmars,Marc Overmars,Netherlands,LM,90
64,Henry,Thierry Henry,France,LW,90
65,Deco,Anderson Luís de Souza,Portugal,CM,90
66,Ferdinand,Rio Ferdinand,United Kingdom of Great Britain and Northern Ireland,CB,90
67,Petit,Emmanuel Petit,France,CDM,90
68,Lehmann,Jens Lehmann,Germany,GK,90
69,Hernández,Luis Hernández,Mexico,ST,90
70,Rui Costa,Rui Manuel César Costa,Portugal,CAM,90
71,Keane,Roy Keane,Ireland,CM,90
72,Lampard,Frank Lampard,United Kingdom of Great Britain and Northern Ireland,CM,90
73,Zola,Gianfranco Zola,Italy,CF,90
74,Gullit,Ruud Gullit,Netherlands,CM,90
75,Puyol,Carles Puyol Saforcada,Spain,CB,90
76,Ronaldinho,Ronaldo de Assis Moreira,Brazil,CAM,89
77,Laudrup,Michael Laudrup,Denmark,LW,89
78,Van Basten,Marco van Basten,Netherlands,ST,89
79,Van Der Sar,Edwin van der Sar,Netherlands,GK,89
80,Yashin,Lev Yashin,Russian Federation,GK,89
81,Hagi,Gheorghe Hagi,Romania,CAM,89
82,Blanc,Laurent Blanc,France,CB,89
83,Shearer,Alan Shearer,United Kingdom of Great Britain and Northern Ireland,ST,89
84,Vieri,Christian Vieri,Italy,ST,88
85,Nesta,Alessandro Nesta,Italy,CB,88
86,Overmars,Marc Overmars,Netherlands,LW,88
87,Desailly,Marcel Desailly,France,CDM,88
